,0
0,0.0
1,-0.004911429967575146
2,-0.009634636727948682
3,-0.014185516604524058
4,-0.018578207046730428
5,-0.022825707604313843
6,-0.026940362418265765
7,-0.03093382474112024
8,-0.03481708112757102
9,-0.038600492652437236
10,-0.04229382602085572
11,-0.0459062802566968
12,-0.049446510121013115
13,-0.05292264606485168
14,-0.056342310904919625
15,-0.05971263342809787
16,-0.06304025909558954
17,-0.06633135801153922
18,-0.06959163031753228
19,-0.07282630917175248
20,-0.07604016147129919
21,-0.07923748647804559
22,-0.08242211251226683
23,-0.08559739188398939
24,-0.0887661942394899
25,-0.09193089850947704
26,-0.09509338365607078
27,-0.09825501842758959
28,-0.10141665034316982
29,-0.10457859414316026
30,-0.10774061995580222
31,-0.11090194144564232
32,-0.11406120422410061
33,-0.1172164748172786
34,-0.12036523050002612
35,-0.12350435031806195
36,-0.12663010763106622
37,-0.12973816451862827
38,-0.1328235683971795
39,-0.13588075119900675
40,-0.1389035314635225
41,-0.14188511968558493
42,-0.1448181272552093
43,-0.147694579306939
44,-0.1505059317749157
45,-0.15324309292084212
46,-0.15589644956617213
47,-0.15845589821671557
48,-0.16091088121722807
49,-0.16325042801546946
50,-0.1654632015497822
51,-0.16753754970181042
52,-0.16946156167706034
53,-0.17122312909134596
54,-0.17281001145169816
55,-0.17420990562722155
56,-0.17541051880999736
57,-0.17639964437001862
58,-0.1771652399129692
59,-0.17769550675726548
60,-0.1779789699590037
61,-0.17800455793222209
62,-0.17776168063898626
63,-0.17724030526098516
64,-0.17643102821304377
65,-0.1753251423204957
66,-0.17391469795754738
67,-0.17219255693311822
68,-0.17015243791410364
69,-0.16778895219310072
70,-0.16509762863723923
71,-0.1620749266953102
72,-0.15871823638966637
73,-0.15502586427483028
74,-0.15099700440327643
75,-0.14663169339721904
76,-0.14193074877990297
77,-0.1368956897675322
78,-0.13152863976035978
79,-0.1258322097960878
80,-0.11980936223872839
81,-0.11346325397096527
82,-0.10679705833871739
83,-0.09981376506611292
84,-0.09251595732277525
85,-0.0849055650916974
86,-0.07698359396682634
87,-0.06874982852081735
88,-0.06020250944562617
89,-0.0513379838073355
90,-0.04215032800274692
91,-0.032630943395649925
92,-0.022768125187642714
93,-0.012546605889943987
94,-0.0019470758612207303
95,0.009054315181994095
96,0.020486469934431133
97,0.03238386050688131
98,0.04478703982365101
99,0.05774313323073089
100,0.07130629223658892
101,0.08553808786407488
102,0.10050781614910102
103,0.11629268297617959
104,0.1329778298507988
105,0.15065615660593862
106,0.16942789174302803
107,0.18939985653073624
108,0.21068436564643292
109,0.23339770566858573
110,0.25765813383822256
111,0.2835833440138404
112,0.3112873555158697
113,0.3408767944800394
114,0.3724465572600317
115,0.40607487206797804
116,0.44181780891408273
117,0.4797033292043658
118,0.5197250151674726
119,0.5618356740683963
120,0.6059410667519344
121,0.6518940852999613
122,0.6994898408024136
123,0.7484618093914122
124,0.7984786297671983
125,0.8491491759495219
126,0.9000387687837896
127,0.9505657880110442
128,1.0
